fy,total_filed,discharged,dismissed,closed,dismiss_rate,prior_filers,prior_rate,prior_discharged,prior_discharge_rate_pct_of_prior,est_violations,pro_se,pro_se_rate,period_status,retrieved_at,source
2008,348946,123168,183075,306243,59.8,103741,29.7,27144,26.2,11672,24535,7.0,mature,2026-04-19,fjc_query
2009,391571,169261,177640,346901,51.2,109635,28.0,34873,31.8,14995,28451,7.3,mature,2026-04-19,fjc_query
2010,428750,191438,192116,383554,50.1,112822,26.3,36305,32.2,15611,38468,9.0,mature,2026-04-19,fjc_query
2011,410254,176717,192896,369613,52.2,110608,27.0,32558,29.4,14000,41730,10.2,mature,2026-04-19,fjc_query
2012,369202,151555,182646,334201,54.7,107043,29.0,29186,27.3,12550,35531,9.6,mature,2026-04-19,fjc_query
2013,339235,134357,173960,308317,56.4,108845,32.1,28295,26.0,12167,28138,8.3,mature,2026-04-19,fjc_query
2014,308964,120093,161681,281774,57.4,107589,34.8,27395,25.5,11780,24813,8.0,mature,2026-04-19,fjc_query
2015,299284,112548,162384,274932,59.1,110695,37.0,27806,25.1,11957,25649,8.6,mature,2026-04-19,fjc_query
2016,296368,109653,163620,273273,59.9,111873,37.7,27931,25.0,12010,26044,8.8,mature,2026-04-19,fjc_query
2017,294312,111910,160755,272665,59.0,115051,39.1,29807,25.9,12817,27224,9.2,mature,2026-04-19,fjc_query
2018,286454,110809,154265,265074,58.2,112955,39.4,29720,26.3,12780,26303,9.2,mature,2026-04-19,fjc_query
2019,287340,110995,152204,263199,57.8,110864,38.6,28708,25.9,12344,26135,9.1,mature,2026-04-19,fjc_query
2020,192697,75250,94905,170155,55.8,73310,38.0,19433,26.5,8356,13072,6.8,partial_covid,2026-04-19,fjc_query
2021,117822,24248,55064,79312,69.4,44769,38.0,6589,27.2,2833,4102,3.5,censored,2026-04-19,fjc_query
2022,149340,14667,76010,90677,83.8,57312,38.4,3952,26.9,1699,9589,6.4,censored,2026-04-19,fjc_query
2023,178350,5299,82976,88275,94.0,63623,35.7,1422,26.8,611,13665,7.7,censored,2026-04-19,fjc_query
2024,196274,3076,71481,74557,95.9,66381,33.8,827,27.0,356,15604,7.9,censored,2026-04-19,fjc_query
